Series,Contestant,PPT,Prize,Subjective,Objective,Fastest,Live,Team,Highest,Lowest,Age,Gender,GregHarshnessRating,Seat,Height,Handedness,Children,Winner,Place,ChineseYear,FacialHair,HairColour,Books,Helped,RefusedHelp,Headwear,ComedyAward,Diet,OutfitColor,Language,SecondLanguage,Siblings,BirthOrder
13,Judi Love,2.84,2.6,2.93,2.77,3,2.3,4.33,24,10,32,F,0.87,4,167,R,2,N,5,Monkey,N,Black,0,,,N,N,Meat,Blue,No,,4,Youngest
14,Dara Ó Briain,3.68,3.4,3.63,3.71,2.8,4.3,2.78,30,9,50,M,0.95,1,195,R,3,Y,1,Pig,N,Bald,2,,,N,N,Meat,Green,Yes,Irish,Multiple,NA
14,Sarah Millican,3.48,3.2,3.74,3.32,3.2,3.3,4,22,15,36,F,0.95,5,170,R,0,N,2,Rabbit,N,Blonde,1,,,N,Y,Meat,Dark blue,No,,1,Youngest
14,Munya Chawawa,3,2.2,2.74,3.16,2.4,3.2,4,21,8,35,M,0.95,4,170.2,L,0,N,3,Monkey,Beard,Brown,0,,,N,N,Meat,Dark blue,No,,1,NA
14,John Kearns,2.88,2.6,3.11,2.74,1,2.6,3.33,23,6,29,M,0.95,3,179,R,1,N,4,Rabbit,Beard,Blonde,0,,,N,Y,Meat,White,No,,NA,NA
14,Fern Brady,2.88,2.9,3.63,2.42,1.8,3,2.78,23,6,47,F,0.95,2,172,R,0,N,4,Tiger,N,Brown,1,,,N,N,Veggie,Green,No,,1,Youngest
15,Mae Martin,3.48,3,3.59,3.39,3.75,3.5,5.25,28,10,50,NB,0.88,5,167,,0,Y,1,Rabbit,N,Blonde,1,,,N,Nom,Meat,White,No,,1,Youngest
15,Kiell Smith-Bynoe,3.16,3.5,3.5,2.89,3,2.7,5.25,25,9,32,M,0.88,4,183,,0,N,2,Snake,Beard,Bald,0,,,Y,N,Meat,Red,No,,NA,NA
15,Jenny Eclair,3.04,3,3.05,3.04,2.25,3.9,5.25,22,7,63,F,0.88,3,162.6,,1,N,3,Rat,N,Blonde,10,,,N,Y,Meat,Orange,Yes,German,2,Middle
15,Frankie Boyle,3,3.7,3.45,2.64,2.5,2.1,3,20,10,34,M,0.88,1,183,,2,N,4,Rat,Beard,Black,4,,,N,N,Vegan,Dark blue,No,,NA,NA
